nTasks;MeanSecs;VarSecs
10;0.4323368916;0.0103557332786052
15;0.991696975133333;0.82181263934708
20;20.8998952830667;742.530482767184
25;26.7078434309333;893.465324935127
30;55.7645925844;352.840214765136
35;58.9969193625333;235.892039130196
40;63.1016867462667;1.16068852520153e-05
