nTasks;ADiff;DiffVar;ADiffSeconds;DiffSecondsVar
40;482.0;27749.7333333333;48.2;277.497333333333
50;441.8;21523.36;44.18;215.2336
60;430.2;28812.4266666667;43.02;288.124266666667
70;533.666666666667;31997.1555555556;53.3666666666667;319.971555555555
80;501.2;18775.6266666667;50.12;187.756266666667
90;495.0;39609.4666666667;49.5;396.094666666667
